accession	parent_molregno	integrated_plasma_activity	predicted
Q13639	2214	1.0	0
Q6W5P4	2214	0.0	0
O15118	2223	0.0	0
P02545	2223	0.0	0
P08912	2223	0.0	0
P08913	2223	1.0	0
P10635	2223	1.0	0
P11229	2223	0.0	0
P18089	2223	0.0	0
P20309	2223	0.0	0
P23975	2223	0.0	0
P28223	2223	1.0	0
P28335	2223	1.0	0
P31645	2223	1.0	0
P42345	2223	0.0	0
P42858	2223	0.0	0
P50406	2223	0.0	0
P51151	2223	0.0	0
Q01959	2223	0.0	0
Q12809	2223	0.0	0
Q99720	2223	1.0	0
Q9Y5N1	2223	0.0	0
P00352	2247	0.0	0
P10636	2247	0.0	0
P02545	2261	0.0	0
P07305	2261	1.0	0
P08172	2261	1.0	0
P08173	2261	1.0	0
P08908	2261	1.0	0
P08912	2261	1.0	0
P08913	2261	1.0	0
P0DMS8	2261	1.0	0
P10636	2261	0.0	0
P11229	2261	1.0	0
P14416	2261	1.0	0
P16473	2261	0.0	0
P18089	2261	1.0	0
P18825	2261	1.0	0
P19838	2261	1.0	0
P20309	2261	1.0	0
P21728	2261	1.0	0
P21917	2261	1.0	0
P21918	2261	1.0	0
P23975	2261	0.0	0
P25021	2261	0.0	0
P25100	2261	1.0	0
P28222	2261	1.0	0
P28223	2261	1.0	0
P28335	2261	1.0	0
P28482	2261	0.0	0
P31645	2261	1.0	0
P34969	2261	1.0	0
P35348	2261	1.0	0
P35367	2261	1.0	0
P35368	2261	1.0	0
P35462	2261	1.0	0
P41595	2261	1.0	0
P46098	2261	1.0	0
P47898	2261	1.0	0
P50406	2261	1.0	0
P54132	2261	1.0	0
Q12809	2261	0.0	0
Q16637	2261	0.0	0
Q99714	2261	0.0	0
Q9NUW8	2261	0.0	0
Q9Y5N1	2261	1.0	0
O15118	2262	0.0	0
P02545	2262	1.0	0
P04637	2262	0.0	0
P07949	2262	0.0	0
P08172	2262	1.0	0
P08173	2262	1.0	0
P08912	2262	1.0	0
P08913	2262	1.0	0
P10635	2262	1.0	0
P10636	2262	0.0	0
P11229	2262	1.0	0
P16473	2262	0.0	0
P18089	2262	1.0	0
P18825	2262	1.0	0
P20309	2262	1.0	0
P21728	2262	1.0	0
P23975	2262	1.0	0
P25021	2262	0.0	0
P25100	2262	1.0	0
