accession	parent_molregno	integrated_plasma_activity	predicted
P42345	2580	1	0
P43351	2580	0	0
P46063	2580	0	0
P51151	2580	0	0
P54132	2580	0	0
P55210	2580	0	0
Q01453	2580	1	0
Q03164	2580	0	0
Q12809	2580	1	0
Q16637	2580	0	0
Q16665	2580	0	0
Q6W5P4	2580	0	0
Q99714	2580	0	0
P00352	2654	0	0
P02545	2654	0	0
P04637	2654	0	0
P08263	2654	0	0
P09211	2654	0	0
P10636	2654	0	0
P16473	2654	0	0
P42858	2654	0	0
P46063	2654	0	0
Q13315	2654	0	0
Q14376	2654	0	0
Q16665	2654	0	0
Q6W5P4	2654	0	0
P02766	2994	1	0
P16473	2994	0	0
Q07869	2994	0	0
Q16637	2994	0	0
Q9NUW8	2994	0	0
Q9NZ45	2994	0	0
B2RXH2	3012	0	0
P00352	3012	0	0
P15428	3012	0	0
P16083	3012	0	0
P48039	3012	1	0
P49286	3012	1	0
P51151	3012	0	0
P54132	3012	1	0
Q01453	3012	0	0
Q16678	3012	0	0
Q99714	3012	0	0
Q9NUW8	3012	0	0
P00390	3059	0	0
O15244	3183	0	0
O15245	3183	0	0
O75751	3183	0	0
P17787	3183	0	0
P30926	3183	0	0
P32297	3183	0	0
P41595	3183	1	0
P43681	3183	0	0
P46098	3183	1	0
Q12809	3183	1	0
Q86VL8	3183	1	0
Q96FL8	3183	1	0
P02545	3345	1	0
P10636	3345	0	0
P49638	3345	0	0
B2RXH2	3599	0	0
O15244	3599	0	0
P00352	3599	0	0
P08908	3599	1	0
P14416	3599	1	0
P25100	3599	1	0
P28223	3599	0	0
P35462	3599	1	0
P41595	3599	1	0
Q01453	3599	0	0
Q12809	3599	0	0
Q16665	3599	0	0
Q86VL8	3599	0	0
Q96FL8	3599	0	0
Q99720	3599	1	0
B2RXH2	3730	0	0
O75604	3730	0	0
P00352	3730	0	0
P00533	3730	0	0
P02545	3730	0	0
P06241	3730	0	0
P06746	3730	0	0
P10253	3730	0	0
P10636	3730	0	0
P15428	3730	0	0
P16050	3730	0	0
P27695	3730	0	0
P42345	3730	0	0
P46063	3730	0	0
P54132	3730	0	0
P55212	3730	0	0
Q01453	3730	0	0
Q99714	3730	1	0
Q9NUW8	3730	1	0
P02545	3799	0	0
P34969	3799	1	0
P54132	3799	0	0
B2RXH2	3854	0	0
O15245	3854	0	0
P00352	3854	0	0
P02545	3854	0	0
P04637	3854	0	0
P08908	3854	1	0
P10253	3854	0	0
P10636	3854	0	0
P11413	3854	0	0
P14416	3854	1	0
P14618	3854	1	0
P15428	3854	0	0
P21728	3854	1	0
P21917	3854	1	0
P28482	3854	0	0
P34949	3854	0	0
P35462	3854	1	0
P42858	3854	0	0
P43351	3854	0	0
P46063	3854	0	0
Q00987	3854	1	0
Q07820	3854	0	0
Q16637	3854	0	0
Q99714	3854	1	0
Q9HC16	3854	0	0
Q9NUW8	3854	1	0
Q9Y468	3854	0	0
O95069	3859	0	0
P07305	3859	1	0
P08908	3859	0	0
P08912	3859	0	0
P08913	3859	0	0
P11229	3859	0	0
P14416	3859	1	0
P16050	3859	0	0
P16473	3859	0	0
P18089	3859	1	0
P18825	3859	1	0
P19838	3859	1	0
P21728	3859	1	0
P21917	3859	1	0
P21918	3859	1	0
P23975	3859	0	0
P25021	3859	0	0
P25100	3859	1	0
P28223	3859	1	0
P28335	3859	0	0
P31645	3859	0	0
P34969	3859	0	0
P35348	3859	1	0
P35367	3859	1	0
P35372	3859	0	0
P35462	3859	1	0
P40225	3859	0	0
P41595	3859	0	0
P42345	3859	0	0
P50406	3859	0	0
Q01453	3859	0	0
Q12809	3859	1	0
Q15125	3859	1	0
Q5BJF2	3859	1	0
Q99720	3859	1	0
B2RXH2	3965	0	0
O15118	3965	0	0
O15244	3965	0	0
O15245	3965	0	0
O75365	3965	0	0
O75496	3965	0	0
O75751	3965	0	0
P00352	3965	0	0
P02545	3965	0	0
P04271	3965	1	0
P06746	3965	0	0
P08172	3965	1	0
P08173	3965	1	0
P08912	3965	0	0
P08913	3965	1	0
P10636	3965	0	0
P14618	3965	1	0
P16050	3965	0	0
P19801	3965	1	0
P21397	3965	1	0
P21673	3965	0	0
P23975	3965	0	0
P28223	3965	1	0
P28335	3965	0	0
P35462	3965	0	0
P38398	3965	0	0
P40225	3965	0	0
P42345	3965	0	0
P42858	3965	0	0
P46063	3965	0	0
P51151	3965	0	0
P54132	3965	0	0
Q01959	3965	0	0
Q05586	3965	1	0
Q12809	3965	0	0
Q12879	3965	1	0
Q16637	3965	0	0
Q16665	3965	0	0
Q86VL8	3965	0	0
Q96FL8	3965	0	0
B2RXH2	4011	0	0
P10636	4011	0	0
Q16665	4011	0	0
Q4U2R8	4011	0	0
Q8TCC7	4011	0	0
P00352	4345	0	0
P02545	4345	1	0
P06746	4345	0	0
P28482	4345	0	0
P21554	4496	1	0
P23415	4496	0	0
P34972	4496	1	0
P35462	4496	1	0
Q14330	4496	0	0
Q9Y2T6	4496	0	0
B2RXH2	4504	0	0
O15118	4504	0	0
O15244	4504	0	0
O15245	4504	0	0
O75496	4504	0	0
O75604	4504	0	0
O75751	4504	0	0
O96028	4504	0	0
P00352	4504	0	0
P00533	4504	0	0
P02545	4504	0	0
P04626	4504	0	0
P04637	4504	0	0
P06241	4504	0	0
P06746	4504	1	0
P08172	4504	1	0
P08173	4504	1	0
P10636	4504	0	0
P11229	4504	1	0
P11309	4504	1	0
P11388	4504	0	0
P14618	4504	0	0
P16050	4504	0	0
P19838	4504	0	0
P23975	4504	0	0
P27695	4504	0	0
P28335	4504	0	0
P28482	4504	0	0
P29372	4504	0	0
P33527	4504	1	0
P40225	4504	1	0
P42345	4504	1	0
P42858	4504	0	0
P46063	4504	0	0
P51151	4504	0	0
P54132	4504	0	0
Q01453	4504	0	0
Q03164	4504	0	0
Q06187	4504	1	0
Q06710	4504	1	0
Q12809	4504	0	0
Q16637	4504	1	0
Q16665	4504	0	0
Q6W5P4	4504	0	0
Q86VL8	4504	1	0
Q96FL8	4504	1	0
Q9NUW8	4504	0	0
Q9Y468	4504	0	0
B2RXH2	4584	0	0
P00352	4584	0	0
P02545	4584	0	0
P04637	4584	0	0
P07550	4584	0	0
P10253	4584	0	0
P10636	4584	0	0
P14416	4584	1	0
P16050	4584	0	0
P21728	4584	1	0
P21917	4584	1	0
P21918	4584	0	0
P23975	4584	1	0
P27695	4584	0	0
P28482	4584	0	0
P35462	4584	1	0
P40225	4584	0	0
P42345	4584	0	0
P46063	4584	0	0
P48039	4584	0	0
P49286	4584	0	0
P54132	4584	1	0
Q01453	4584	0	0
Q01959	4584	0	0
Q16665	4584	0	0
Q99714	4584	0	0
Q9NUW8	4584	1	0
P00918	4730	0	0
P02545	4730	0	0
P16473	4730	0	0
P19838	4730	0	0
P35218	4730	0	0
P54132	4730	0	0
Q01453	4730	0	0
Q16790	4730	0	0
B2RXH2	4941	0	0
P05164	4941	0	0
P00352	5028	0	0
Q96SW2	5028	0	0
O15118	5080	0	0
P23219	5080	1	0
P35354	5080	1	0
P42858	5080	0	0
P51151	5080	0	0
P54132	5080	1	0
Q13153	5080	0	0
P02545	5528	0	0
P06280	5528	1	0
P07550	5528	1	0
P08588	5528	0	0
P54132	5528	1	0
O60706	5582	1	0
O95342	5582	0	0
P00352	5582	0	0
P02545	5582	0	0
P10636	5582	0	0
P11712	5582	0	0
P16473	5582	1	0
P54132	5582	0	0
Q01453	5582	0	0
Q09428	5582	1	0
Q12809	5582	0	0
Q14654	5582	1	0
Q16665	5582	0	0
Q96P20	5582	0	0
Q9NZ45	5582	0	0
Q12809	5638	1	0
P35372	5666	0	0
P41143	5666	0	0
Q05586	5666	1	0
Q12879	5666	1	0
Q13224	5666	0	0
B2RXH2	5772	0	0
P00352	5772	0	0
P02545	5772	0	0
P14780	5772	1	0
P16473	5772	0	0
Q16637	5772	0	0
O43318	5797	0	0
P0DMS8	5797	1	0
P28482	5797	0	0
P29274	5797	1	0
P29275	5797	0	0
P30542	5797	1	0
P42226	5797	0	0
Q16637	5797	0	0
Q8TEK3	5797	0	0
B2RXH2	5970	0	0
O15118	5970	0	0
O75496	5970	0	0
P00352	5970	1	0
P00533	5970	0	0
P02545	5970	0	0
P04637	5970	0	0
P05177	5970	0	0
P06241	5970	0	0
P08172	5970	1	0
P08173	5970	1	0
P08912	5970	1	0
P08913	5970	1	0
P10635	5970	0	0
P10636	5970	0	0
P11229	5970	1	0
P11309	5970	0	0
P14416	5970	1	0
P18089	5970	1	0
P18825	5970	1	0
P20309	5970	1	0
P21728	5970	1	0
P21917	5970	1	0
P23975	5970	0	0
P25021	5970	1	0
P25100	5970	1	0
P28223	5970	1	0
P28335	5970	1	0
P28482	5970	0	0
P31645	5970	1	0
P33261	5970	0	0
P34969	5970	1	0
P35367	5970	1	0
P35462	5970	1	0
P41145	5970	0	0
P41595	5970	1	0
P42226	5970	0	0
P42345	5970	0	0
P42858	5970	0	0
P43351	5970	0	0
P50406	5970	1	0
P51151	5970	0	0
Q01453	5970	0	0
Q01959	5970	0	0
Q03164	5970	0	0
Q12809	5970	1	0
Q13936	5970	0	0
Q14524	5970	0	0
Q16637	5970	0	0
Q6W5P4	5970	0	0
Q99720	5970	1	0
Q9NUW8	5970	0	0
B2RXH2	5975	0	0
O15118	5975	0	0
O94760	5975	0	0
P00352	5975	0	0
P02545	5975	0	0
P06280	5975	0	0
P08183	5975	0	0
P10253	5975	0	0
P10635	5975	0	0
P10636	5975	0	0
P15428	5975	0	0
P16050	5975	0	0
P16473	5975	1	0
P33261	5975	1	0
P49327	5975	0	0
P51151	5975	0	0
Q01453	5975	0	0
Q16665	5975	0	0
Q8NFI3	5975	0	0
Q8TCT1	5975	1	0
Q99714	5975	0	0
Q9NUW8	5975	0	0
B2RXH2	5985	0	0
O15244	5985	0	0
