tid	pref_name	target_type	accession	accession_organism	target_organism
322	DNA (cytosine-5)-methyltransferase 3A	SINGLE PROTEIN	Q9Y6K1	Homo sapiens	Homo sapiens
321	DNA (cytosine-5)-methyltransferase 1	SINGLE PROTEIN	P26358	Homo sapiens	Homo sapiens
48	Mineralocorticoid receptor	SINGLE PROTEIN	P08235	Homo sapiens	Homo sapiens
143	Prostanoid IP receptor	SINGLE PROTEIN	P43119	Homo sapiens	Homo sapiens
252	Adenosine A2a receptor	SINGLE PROTEIN	P29274	Homo sapiens	Homo sapiens
207	Granulocyte colony stimulating factor receptor	SINGLE PROTEIN	Q99062	Homo sapiens	Homo sapiens
175	Equilibrative nucleoside transporter 1	SINGLE PROTEIN	Q99808	Homo sapiens	Homo sapiens
31000	Synaptic vesicle glycoprotein 2A	SINGLE PROTEIN	Q7L0J3	Homo sapiens	Homo sapiens
23	Plasma kallikrein	SINGLE PROTEIN	P03952	Homo sapiens	Homo sapiens
176	Purinergic receptor P2Y12	SINGLE PROTEIN	Q9H244	Homo sapiens	Homo sapiens
68	Inosine-5'-monophosphate dehydrogenase 2	SINGLE PROTEIN	P12268	Homo sapiens	Homo sapiens
240	Retinoic acid receptor gamma	SINGLE PROTEIN	P13631	Homo sapiens	Homo sapiens
266	Retinoid X receptor gamma	SINGLE PROTEIN	P48443	Homo sapiens	Homo sapiens
12627	Platelet-derived growth factor receptor alpha	SINGLE PROTEIN	P16234	Homo sapiens	Homo sapiens
270	Retinoic acid receptor beta	SINGLE PROTEIN	P10826	Homo sapiens	Homo sapiens
19910	Vitamin K-dependent gamma-carboxylase	SINGLE PROTEIN	P38435	Homo sapiens	Homo sapiens
138	Nociceptin receptor	SINGLE PROTEIN	P41146	Homo sapiens	Homo sapiens
10434	Tyrosine-protein kinase SRC	SINGLE PROTEIN	P12931	Homo sapiens	Homo sapiens
155	Dopamine transporter	SINGLE PROTEIN	Q01959	Homo sapiens	Homo sapiens
193	Coagulation factor IX	SINGLE PROTEIN	P00740	Homo sapiens	Homo sapiens
194	Coagulation factor X	SINGLE PROTEIN	P00742	Homo sapiens	Homo sapiens
129	Mu opioid receptor	SINGLE PROTEIN	P35372	Homo sapiens	Homo sapiens
19914	Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI)	SINGLE PROTEIN	P49895	Homo sapiens	Homo sapiens
91	Catechol O-methyltransferase	SINGLE PROTEIN	P21964	Homo sapiens	Homo sapiens
93	Acetylcholinesterase	SINGLE PROTEIN	P22303	Homo sapiens	Homo sapiens
99	Follicle stimulating hormone receptor	SINGLE PROTEIN	P23945	Homo sapiens	Homo sapiens
10980	Vascular endothelial growth factor receptor 2	SINGLE PROTEIN	P35968	Homo sapiens	Homo sapiens
329	Niemann-Pick C1-like protein 1	SINGLE PROTEIN	Q9UHC9	Homo sapiens	Homo sapiens
11261	Somatostatin receptor 3	SINGLE PROTEIN	P32745	Homo sapiens	Homo sapiens
47	Muscarinic acetylcholine receptor M2	SINGLE PROTEIN	P08172	Homo sapiens	Homo sapiens
235	Leukocyte elastase	SINGLE PROTEIN	P08246	Homo sapiens	Homo sapiens
158	Growth hormone-releasing hormone receptor	SINGLE PROTEIN	Q02643	Homo sapiens	Homo sapiens
32	Cytochrome P450 11A1	SINGLE PROTEIN	P05108	Homo sapiens	Homo sapiens
25	Glucocorticoid receptor	SINGLE PROTEIN	P04150	Homo sapiens	Homo sapiens
215	Muscarinic acetylcholine receptor M5	SINGLE PROTEIN	P08912	Homo sapiens	Homo sapiens
104	Monoamine oxidase B	SINGLE PROTEIN	P27338	Homo sapiens	Homo sapiens
196	T-cell surface antigen CD2	SINGLE PROTEIN	P06729	Homo sapiens	Homo sapiens
170	Phosphodiesterase 3A	SINGLE PROTEIN	Q14432	Homo sapiens	Homo sapiens
100079	Tyrosine-protein kinase receptor RET	SINGLE PROTEIN	P07949	Homo sapiens	Homo sapiens
10140	Tyrosine-protein kinase LCK	SINGLE PROTEIN	P06239	Homo sapiens	Homo sapiens
153	Gamma-amino-N-butyrate transaminase	SINGLE PROTEIN	P80404	Homo sapiens	Homo sapiens
10705	Pancreatic alpha-amylase	SINGLE PROTEIN	P04746	Homo sapiens	Homo sapiens
11180	Bile acid receptor FXR	SINGLE PROTEIN	Q96RI1	Homo sapiens	Homo sapiens
11181	Fibrinogen beta chain	SINGLE PROTEIN	P02675	Homo sapiens	Homo sapiens
116	Oxytocin receptor	SINGLE PROTEIN	P30559	Homo sapiens	Homo sapiens
