parent_molregno	accession	parent_chembl_id	target_organism	summary
1280	P35354	CHEMBL25	Homo sapiens	4.28
1280	P54132	CHEMBL25	Homo sapiens	8.55
1280	Q99714	CHEMBL25	Homo sapiens	4.4
1280	Q9NUW8	CHEMBL25	Homo sapiens	4.9
1325	B2RXH2	CHEMBL422	Homo sapiens	4.6
1325	O15118	CHEMBL422	Homo sapiens	4.24
1325	O75496	CHEMBL422	Homo sapiens	4.7
1325	O75604	CHEMBL422	Homo sapiens	4.8
1325	O94782	CHEMBL422	Homo sapiens	5.1
1325	P00352	CHEMBL422	Homo sapiens	4.4
1325	P02545	CHEMBL422	Homo sapiens	4.8
1325	P04637	CHEMBL422	Homo sapiens	4.8
1325	P06746	CHEMBL422	Homo sapiens	5.35
1325	P08183	CHEMBL422	Homo sapiens	5.14
1325	P10636	CHEMBL422	Homo sapiens	4.55
1325	P16050	CHEMBL422	Homo sapiens	4.7
1325	P16473	CHEMBL422	Homo sapiens	4.5
1325	P19838	CHEMBL422	Homo sapiens	4.95
1325	P28482	CHEMBL422	Homo sapiens	4.55
1325	P40225	CHEMBL422	Homo sapiens	4.8
1325	P42345	CHEMBL422	Homo sapiens	4.78
1325	P42858	CHEMBL422	Homo sapiens	4.65
1325	P43351	CHEMBL422	Homo sapiens	4.77
1325	P51151	CHEMBL422	Homo sapiens	4.24
1325	P78527	CHEMBL422	Homo sapiens	4.0
1325	Q01453	CHEMBL422	Homo sapiens	4.62
1325	Q12809	CHEMBL422	Homo sapiens	5.25
1325	Q15125	CHEMBL422	Homo sapiens	8.1
1325	Q16637	CHEMBL422	Homo sapiens	4.675
1325	Q6W5P4	CHEMBL422	Homo sapiens	4.75
1325	Q8TAF3	CHEMBL422	Homo sapiens	5.1
1325	Q99714	CHEMBL422	Homo sapiens	6.7
1325	Q9BY08	CHEMBL422	Homo sapiens	8.41
1325	Q9NUW8	CHEMBL422	Homo sapiens	5.95
1333	O43570	CHEMBL26	Homo sapiens	8.41
1333	P00915	CHEMBL26	Homo sapiens	5.42
1333	P00918	CHEMBL26	Homo sapiens	7.4
1333	P07451	CHEMBL26	Homo sapiens	4.97
1333	P08913	CHEMBL26	Homo sapiens	5.91
1333	P10636	CHEMBL26	Homo sapiens	5.05
1333	P14416	CHEMBL26	Homo sapiens	7.58
1333	P21917	CHEMBL26	Homo sapiens	5.68
1333	P23280	CHEMBL26	Homo sapiens	9.1
1333	P35218	CHEMBL26	Homo sapiens	6.76
1333	P35462	CHEMBL26	Homo sapiens	7.18
1333	P43166	CHEMBL26	Homo sapiens	6.9399999999999995
1333	P54132	CHEMBL26	Homo sapiens	8.8
1333	Q16790	CHEMBL26	Homo sapiens	7.425
1333	Q9Y2D0	CHEMBL26	Homo sapiens	7.75
1354	P02545	CHEMBL423	Homo sapiens	4.6
1354	P08588	CHEMBL423	Homo sapiens	8.8
1354	P10253	CHEMBL423	Homo sapiens	4.25
1354	P54132	CHEMBL423	Homo sapiens	4.3
1362	B2RXH2	CHEMBL424	Homo sapiens	4.55
1362	O43570	CHEMBL424	Homo sapiens	5.06
1362	P00352	CHEMBL424	Homo sapiens	4.4
1362	P00915	CHEMBL424	Homo sapiens	5.0
1362	P00918	CHEMBL424	Homo sapiens	5.15
1362	P15428	CHEMBL424	Homo sapiens	4.525
1362	P22748	CHEMBL424	Homo sapiens	4.96
1362	P23280	CHEMBL424	Homo sapiens	4.92
1362	P43166	CHEMBL424	Homo sapiens	4.09
1362	Q16637	CHEMBL424	Homo sapiens	4.45
1362	Q16790	CHEMBL424	Homo sapiens	4.1
1362	Q9ULX7	CHEMBL424	Homo sapiens	4.3
1369	P42858	CHEMBL425	Homo sapiens	4.45
1370	O15245	CHEMBL27	Homo sapiens	4.2
1370	P00352	CHEMBL27	Homo sapiens	4.55
1370	P05177	CHEMBL27	Homo sapiens	5.4
1370	P07550	CHEMBL27	Homo sapiens	9.11
1370	P08588	CHEMBL27	Homo sapiens	8.41
1370	P08908	CHEMBL27	Homo sapiens	5.4
1370	P10635	CHEMBL27	Homo sapiens	5.7
1370	P13945	CHEMBL27	Homo sapiens	6.835
1370	P16473	CHEMBL27	Homo sapiens	4.4
1370	P28223	CHEMBL27	Homo sapiens	6.105
1370	P28335	CHEMBL27	Homo sapiens	5.779999999999999
1370	P28482	CHEMBL27	Homo sapiens	5.0
1370	P31645	CHEMBL27	Homo sapiens	6.5600000000000005
