Drug name	chembl_id	molregno	Original synonyms	value	upper_value	reference	type	assay_id
ERYTHROMYCIN	CHEMBL532	12506		170.0		PMID15637086	ETCP unbound (nM)	
ERYTHROMYCIN	CHEMBL532	12506		8516.0		PMID15637086	ETCP unbound (nM)	
CIPROFLOXACIN	CHEMBL8	241		5281.0		PMID15637086	ETCP unbound (nM)	
CHLORPHENIRAMINE	CHEMBL505	10358		11.0		PMID15637086	ETCP unbound (nM)	
AMITRIPTYLINE	CHEMBL629	27072		41.0		PMID15637086	ETCP unbound (nM)	
DILTIAZEM	CHEMBL23	1278		122.0		PMID15637086	ETCP unbound (nM)	
TERFENADINE	CHEMBL17157	19569		0.29		PMID15637086	ETCP unbound (nM)	
OLANZAPINE	CHEMBL715	34197		5.2		PMID15637086	ETCP unbound (nM)	
MIZOLASTINE	CHEMBL94454	152819		8.7		PMID15637086	ETCP unbound (nM)	
PIMOZIDE	CHEMBL1423	364141		0.43		PMID15637086	ETCP unbound (nM)	
MIBEFRADIL	CHEMBL45816	72035		12.0		PMID15637086	ETCP unbound (nM)	
CLARITHROMYCIN	CHEMBL1741	570147		1206.0		PMID15637086	ETCP unbound (nM)	
BEPRIDIL	CHEMBL1008	112651		33.0		PMID15637086	ETCP unbound (nM)	
FEXOFENADINE	CHEMBL914	81683		345.0		PMID15637086	ETCP unbound (nM)	
GREPAFLOXACIN	CHEMBL583	17136		2087.0		PMID15637086	ETCP unbound (nM)	
SERTINDOLE	CHEMBL12713	10813		1.59		PMID15637086	ETCP unbound (nM)	
DOMPERIDONE	CHEMBL219916	364745		19.0		PMID15637086	ETCP unbound (nM)	
PROCAINAMIDE	CHEMBL640	27341		54186.0		PMID15637086	ETCP unbound (nM)	
FLECAINIDE	CHEMBL652	27588		753.0		PMID15637086	ETCP unbound (nM)	
ASTEMIZOLE	CHEMBL296419	65605		0.26		PMID15637086	ETCP unbound (nM)	
DOFETILIDE	CHEMBL473	5638		2.0		PMID15637086	ETCP unbound (nM)	
PROPAFENONE	CHEMBL631	27112		241.0		PMID15637086	ETCP unbound (nM)	
CISAPRIDE	CHEMBL1729	557741		4.9		PMID15637086	ETCP unbound (nM)	
TERODILINE	CHEMBL363295	308699		12.0		PMID15637086	ETCP unbound (nM)	
SPARFLOXACIN	CHEMBL850	65351		1766.0		PMID15637086	ETCP unbound (nM)	
IBUTILIDE	CHEMBL533	12608		140.0		PMID15637086	ETCP unbound (nM)	
THIORIDAZINE	CHEMBL479	5970		979.0		PMID15637086	ETCP unbound (nM)	
ABACAVIR	CHEMBL1380	321707		0.5		PMID30115648	Fu	
ACAMPROSATE	CHEMBL1201293	675244		1.0		PMID30115648	Fu	
ACEBUTOLOL	CHEMBL642	27347		0.74		PMID30115648	Fu	
ACETAMINOPHEN	CHEMBL112	16450		0.52		PMID30115648	Fu	
ACETAZOLAMIDE	CHEMBL20	1125		0.04		PMID30115648	Fu	
ACETYLCYSTEINE, N-	CHEMBL600	20881		0.17		PMID30115648	Fu	
ACETYLMETHADOL, L-	CHEMBL1514	421070		0.2		PMID30115648	Fu	
ACETYLSALICYLIC ACID	CHEMBL25	1280		0.68		PMID30115648	Fu	
ACYCLOVIR	CHEMBL184	365538		0.85		PMID30115648	Fu	
ALBUTEROL	CHEMBL714	34094	salbutamol	0.92		PMID30115648	Fu	
ALECTINIB	CHEMBL1738797	1117844		0.003		PMID30115648	Fu	
ALENDRONATE	CHEMBL870	70674		0.22		PMID30115648	Fu	
ALFENTANIL	CHEMBL634	27190		0.0859999999999999		PMID30115648	Fu	
ALFUZOSIN	CHEMBL709	33667		0.14		PMID30115648	Fu	
ALLOPURINOL	CHEMBL1467	395607		0.97		PMID30115648	Fu	
ALMITRINE	CHEMBL1183717	657667		0.01		PMID30115648	Fu	
ALMOTRIPTAN	CHEMBL1505	420985		0.6		PMID30115648	Fu	
ALOSETRON	CHEMBL1110	153342		0.18		PMID30115648	Fu	
ALPRAZOLAM	CHEMBL661	27648		0.29		PMID30115648	Fu	
ALVIMOPAN	CHEMBL270190	435293		0.2		PMID30115648	Fu	
AMANTADINE	CHEMBL660	27647		0.33		PMID30115648	Fu	
AMDINOCILLIN	CHEMBL530	12465		0.9		PMID30115648	Fu	
AMIKACIN	CHEMBL177	333157		0.88		PMID30115648	Fu	
AMINOHEXANOIC ACID, 6-	CHEMBL1046	127755		0.92		PMID30115648	Fu	
AMINOLEVULINIC ACID	CHEMBL601	20917		0.88		PMID30115648	Fu	
AMINOSALICYLIC ACID, 5-	CHEMBL704	33202		0.39		PMID30115648	Fu	
AMIODARONE	CHEMBL633	27185		0.0002		PMID30115648	Fu	
AMITRIPTYLINE	CHEMBL629	27072		0.07		PMID30115648	Fu	
AMLODIPINE	CHEMBL1491	418414		0.005		PMID30115648	Fu	
AMOXICILLIN	CHEMBL1082	143284		0.85		PMID30115648	Fu	
AMPHETAMINE	CHEMBL612	23199	-d	0.8		PMID30115648	Fu	
AMPICILLIN	CHEMBL174	305519		0.85		PMID30115648	Fu	
AMRINONE	CHEMBL12856	11066		0.89		PMID30115648	Fu	
AMSACRINE	CHEMBL43	2580		0.029		PMID30115648	Fu	
ANTIPYRINE	CHEMBL277474	26820		0.93		PMID30115648	Fu	
APIXABAN	CHEMBL231779	397524		0.13		PMID30115648	Fu	
APOMORPHINE	CHEMBL53	3854		0.05		PMID30115648	Fu	
APREPITANT	CHEMBL1471	399361		0.05		PMID30115648	Fu	
ARGATROBAN	CHEMBL1166	188815		0.46		PMID30115648	Fu	
ARIPIPRAZOLE	CHEMBL1112	155006		0.01		PMID30115648	Fu	
ARTESUNATE	CHEMBL361497	316347		0.25		PMID30115648	Fu	
ASCORBIC ACID	CHEMBL196	443348		0.26		PMID30115648	Fu	
ATENOLOL	CHEMBL24	1279		0.94		PMID30115648	Fu	
ATOMOXETINE	CHEMBL641	27342		0.02		PMID30115648	Fu	
ATOVAQUONE	CHEMBL1450	378315		0.001		PMID30115648	Fu	
ATRACURIUM	CHEMBL1360	306485		0.52		PMID30115648	Fu	
ATROPINE	CHEMBL517712	445395		0.61		PMID30115648	Fu	
AVIBACTAM	CHEMBL1689063	1077322		0.93		PMID30115648	Fu	
AXITINIB	CHEMBL1289926	716337		0.004		PMID30115648	Fu	
AZAPROPAZONE	CHEMBL1565476	989360		0.004		PMID30115648	Fu	
AZELASTINE	CHEMBL639	27309		0.17		PMID30115648	Fu	
AZITHROMYCIN	CHEMBL529	12428		0.88		PMID30115648	Fu	
AZLOCILLIN	CHEMBL1537	430506		0.65		PMID30115648	Fu	
