chembl_id	molregno	parent_molregno	parent_chembl_id
CHEMBL1256	238127	238127	CHEMBL1256
CHEMBL1256140	705124	581859	CHEMBL1757
CHEMBL1256391	705377	705377	CHEMBL1256391
CHEMBL1256472	705459	51182	CHEMBL803
CHEMBL1256786	705778	705778	CHEMBL1256786
CHEMBL1256873	705866	20496	CHEMBL599
CHEMBL1257	238429	238429	CHEMBL1257
CHEMBL1257051	706046	706046	CHEMBL1257051
CHEMBL1259059	708075	708075	CHEMBL1259059
CHEMBL126	26280	26280	CHEMBL126
CHEMBL1261	240769	240769	CHEMBL1261
CHEMBL12610	9913	9913	CHEMBL12610
CHEMBL1262	242303	242303	CHEMBL1262
CHEMBL1263	242716	242716	CHEMBL1263
CHEMBL1265	244450	244450	CHEMBL1265
CHEMBL1266	245084	245084	CHEMBL1266
CHEMBL1272	248669	248669	CHEMBL1272
CHEMBL1274	249414	249414	CHEMBL1274
CHEMBL1276308	712273	712273	CHEMBL1276308
CHEMBL1276421	712387	712387	CHEMBL1276421
CHEMBL1278	250297	250297	CHEMBL1278
CHEMBL1279	250328	250328	CHEMBL1279
CHEMBL128	27111	27111	CHEMBL128
CHEMBL1282	250908	250908	CHEMBL1282
CHEMBL1286	252155	252155	CHEMBL1286
CHEMBL1289926	716337	716337	CHEMBL1289926
CHEMBL129	27307	27307	CHEMBL129
CHEMBL1290	254975	254975	CHEMBL1290
CHEMBL1291	255221	255221	CHEMBL1291
CHEMBL1297	255534	255534	CHEMBL1297
CHEMBL13	789	789	CHEMBL13
CHEMBL130	27340	27340	CHEMBL130
CHEMBL13030	11434	11434	CHEMBL13030
CHEMBL1306	259959	259959	CHEMBL1306
CHEMBL1308	261343	261343	CHEMBL1308
CHEMBL131	27370	27370	CHEMBL131
CHEMBL1311	263453	263453	CHEMBL1311
CHEMBL1313657	737541	737541	CHEMBL1313657
CHEMBL1314	264400	264400	CHEMBL1314
CHEMBL13209	11745	11745	CHEMBL13209
CHEMBL1321	266225	266225	CHEMBL1321
CHEMBL1323	267163	267163	CHEMBL1323
CHEMBL1324	267825	267825	CHEMBL1324
CHEMBL13280	11715	11715	CHEMBL13280
CHEMBL1335656	759540	759540	CHEMBL1335656
CHEMBL1336	276734	276734	CHEMBL1336
CHEMBL1336727	760611	760611	CHEMBL1336727
CHEMBL1337	281549	281549	CHEMBL1337
CHEMBL134	27609	27609	CHEMBL134
CHEMBL1342	286065	286065	CHEMBL1342
CHEMBL135	27626	27626	CHEMBL135
CHEMBL1354	304383	304383	CHEMBL1354
CHEMBL135400	224263	224263	CHEMBL135400
CHEMBL1358	304798	304798	CHEMBL1358
CHEMBL1359	304903	304903	CHEMBL1359
